,source,Theta
2,1EE_S42.blk_pan.rmd.sort,6.36E-05
6,1EM_S18.blk_pan.rmd.sort,6.48E-05
10,1XE_S43.blk_pan.rmd.sort,0.000179184
14,1XM_S19.blk_pan.rmd.sort,0.000961255
18,2EE_S44.blk_pan.rmd.sort,6.32E-05
22,2EM_S20.blk_pan.rmd.sort,6.51E-05
26,2XE_S45.blk_pan.rmd.sort,0.000224822
30,2XM_S21.blk_pan.rmd.sort,0.000135105
34,3EE_S46.blk_pan.rmd.sort,6.48E-05
38,3EM_S22.blk_pan.rmd.sort,6.55E-05
42,3XE_S47.blk_pan.rmd.sort,0.000158406
46,3XM_S23.blk_pan.rmd.sort,0.001379265
50,4EE_S48.blk_pan.rmd.sort,6.48E-05
54,4EM_S24.blk_pan.rmd.sort,6.52E-05
58,4XE_S49.blk_pan.rmd.sort,0.000153463
62,4XM_S25.blk_pan.rmd.sort,0.001479989
66,5EE_S50.blk_pan.rmd.sort,0.000107657
70,5EM_S26.blk_pan.rmd.sort,6.82E-05
74,5XE_S51.blk_pan.rmd.sort,0.000119762
78,5XM_S27.blk_pan.rmd.sort,0.000230943
82,6EE_S52.blk_pan.rmd.sort,6.44E-05
86,6EM_S28.blk_pan.rmd.sort,0.00012998
90,6XE_S53.blk_pan.rmd.sort,0.001172663
94,6XM_S29.blk_pan.rmd.sort,0.000633216